Asset tag,Model category,Display name,Assigned to,Company,State,Substate,Cost,Configuration Item
VFNA020132,Computers,VFNA020132 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,D4R8YY2
VFNA020133,Computers,VFNA020133 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,85R8YY2
VFNA020134,Computers,VFNA020134 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,B6R8YY2
VFNA020135,Computers,VFNA020135 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,7H39YY2
VFNA020136,Computers,VFNA020136 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,B399YY2
VFNA020137,Computers,VFNA020137 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,8L39YY2
VFNA020138,Computers,VFNA020138 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,DH39YY2
VFNA020139,Computers,VFNA020139 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,H399YY2
VFNA020140,Computers,VFNA020140 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,9C39YY2
VFNA020141,Computers,VFNA020141 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,8LDBYY2
VFNA020142,Computers,VFNA020142 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,6RC8YY2
VFNA020143,Computers,VFNA020143 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,BRC8YY2
VFNA020144,Computers,VFNA020144 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,JR6BYY2
VFNA020179,Computers,VFNA020179 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,BYMJTG2
VFSNA0000000532,Computers,VFSNA0000000532 - Micro-Star International GS65 Stealth Thin GS65 9SF,,,In Stock,Available,$0.00,K1909N0025798
